age,total births,total deaths
0,205000,0
1,203878.7,1121.3
2,203795.6,1204.4
3,203744.25,1255.75
4,203704.15,1295.85
5,203669.2,1330.8
6,203641.45,1358.55
7,203616.75,1383.25
8,203592.1,1407.9
9,203570.5,1429.5
10,203547.9,1452.1
11,203524.25,1475.75
12,203498.55,1501.45
13,203468.75,1531.25
14,203429.65,1570.35
15,203379.15,1620.85
16,203308.9,1691.1
17,203213.75,1786.25
18,203088.45,1911.55
19,202932,2068
20,202755.75,2244.25
21,202562.95,2437.05
22,202353.65,2646.35
23,202127.75,2872.25
24,201884.3,3115.7
25,201624.3,3375.7
26,201345.7,3654.3
27,201049.5,3950.5
28,200736.8,4263.2
29,200405.45,4594.55
30,200053.5,4946.5
31,199683.05,5316.95
32,199294.1,5705.9
33,198884.65,6115.35
34,198459.85,6540.15
35,198017.6,6982.4
36,197557.9,7442.1
37,197081.8,7918.2
38,196585.15,8414.85
39,196065.85,8934.15
40,195520.85,9479.15
41,194948.1,10051.9
42,194345.55,10654.45
43,193713.25,11286.75
44,193052.15,11947.85
45,192359.15,12640.85
46,191631.2,13368.8
47,190858,14142
48,190035.4,14964.6
49,189155.15,15844.85
50,188214.15,16785.85
51,187209.3,17790.7
52,186136.45,18863.55
53,184986.3,20013.7
54,183754.7,21245.3
55,182433.45,22566.55
56,181013.4,23986.6
57,179488.35,25511.65
58,177858.3,27141.7
59,176114.05,28885.95
60,174250.6,30749.4
61,172259.6,32740.4
62,170139.1,34860.9
63,167888.1,37111.9
64,165515.75,39484.25
65,163027.3,41972.7
66,160430.8,44569.2
67,157725.45,47274.55
68,154896.05,50103.95
69,151932.4,53067.6
70,148826.6,56173.4
71,145566.35,59433.65
72,142132.3,62867.7
73,138503,66497
74,134654.9,70345.1
75,130563.45,74436.55
76,126165.15,78834.85
77,121496.3,83503.7
78,116562.9,88437.1
79,111364.9,93635.1
80,105876.9,99123.1
81,100123.1,104876.9
82,94132.45,110867.55
83,87932,117068
84,81534.25,123465.75
85,74949.7,130050.3
86,68217.7,136782.3
87,61398.75,143601.25
88,54572.9,150427.1
89,47860.9,157139.1
90,41342.55,163657.45
91,35101.45,169898.55
92,29234.35,175765.65
93,23836,181164
94,19003.15,185996.85
95,14797.3,190202.7
96,11247.9,193752.1
97,8340.55,196659.45
98,6035.6,198964.4
99,4262,200738
100,2940.9,202059.1
101,1979.4,203020.6
102,1295.95,203704.05
103,823.45,204176.55
104,505.95,204494.05
105,299.8,204700.2
106,170.5,204829.5
107,93.8,204906.2
108,48.4,204951.6
109,24.2,204975.8
110,11.1,204988.9
111,5.05,204994.95
112,2,204998
113,1,204999
114,0,205000
115,0,205000
116,0,205000
117,0,205000
118,0,205000
119,0,205000
